Designator,Footprint,Quantity,Value,LCSC Part #
J49,PinHeader_1x04_P2.54mm_Vertical,1,aux1,
J50,PinHeader_1x04_P2.54mm_Vertical,1,aux2,
"K1, K2, K3, K4, K5, K6",V-SOP4_special_OMR,6,G3VM-61VY3,
L1,L_pol_2016,1,3.3u,
L2,IND_1210-WE-PD_WRE,1,7447709470,
L3,IND_1210-WE-PD_WRE-L,1,7447709220,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,BSS316N,
R1,0402,1,DNF,
R10,0402,1,0,
"R11, R19",0805,2,31.6kOhm,
"R12, R20",0603,2,100k,
"R13, R14, R15, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R45, R46, R47, R57, R58, R59",0603,24,10k,
R16,0603,1,453k 1%,
R17,0603,1,48.1k 1%,
R18,0805,1,2k,
"R2, R4, R6",0402,3,1k,
R21,0603,1,316k 1%,
R22,0603,1,100k 1%,
R23,0805,1,330,
R3,0402,1,33,
"R39, R41, R43, R51, R53, R55",0603,6,4.7k,
"R40, R42, R44, R52, R54, R56",0805,6,100,
"R48, R49, R50, R60, R61, R62",0805,6,0/10Ohm,
"R5, R9",0805,2,10k,
"R63, R64, R65, R66, R67, R68, R69, R83, R84, R86, R87, R88, R89, R90, R91",0805,15,470,
"R7, R8",0402,2,27,
"R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R85",0805,14,4.7kOhm,
"R_ESR1, R_ESR2",0603,2,20mOhm,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,
"U10, U12, U14, U16, U4, U8",DW0016B_L,6,ISO7730FDWR,
"U11, U13, U15, U17, U5, U9",SOIC-16_3.9x9.9mm_P1.27mm,6,AM26LS31CD,
"U18, U22",DW0016B_M,2,ISO7730FDWR,
"U19, U20, U21, U23, U24, U25",SOIC-8_M_MCH-M,6,MIC4420YM-TR,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
"U26, U27",SO16_TOS,2,TLP291-4GB-TP_ET,
"U28, U29",SOIC127P700X229-16N,2,TLP291-4_TP_E_,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
"U6, U7",POWERPAD8_DDA_TEX-L,2,LM5013QDDARQ1,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
